301,0.58227,0.5436,-42.41,-29.844,-1.1061,-0.7451,2.4647,0.45933,-0.31332,-0.45257
302,0.23256,0.1615,-5.9158,6.6503,0.33172,-0.89254,1.6581,0.044758,-0.174,-1
304,0.49964,0.44526,-26.046,-14.339,0.78933,0.91822,2.1588,0.63247,-1,0.32766
305,0.23026,0.15899,-5.7364,6.8297,2.125,1.8088,1.3244,0.19317,-1,0.062443
306,0.72443,0.69891,-67.368,-54.802,2.5302,0.061314,1.4542,0.85094,0.90503,0.3599
307,0.14476,0.065568,0.58369,13.15,0.78655,1.3482,-0.0054439,0.01,-0.24434,-1
308,0.44227,0.39063,-25.067,-12.501,2.1232,1.6082,1.3971,0.55676,-0.37327,-1
309,0.36326,0.3043,-17.117,-4.5513,1.9406,0.87088,3.0438,0.19828,-0.78422,-1
310,0.49892,0.45252,-31.493,-18.927,1.4286,1.0393,2.2966,0.47731,-0.23685,0.85621
311,0.14971,0.070976,0.23548,12.802,1.1374,1.3608,1.0611,0.01,-0.86745,0.1962
312,0.65938,0.62784,-54.653,-42.086,1.8636,0.77913,3.0542,0.31205,-0.34188,0.098479
313,0.40989,0.35525,-21.681,-9.1147,2.2026,2.1121,1.7232,0.01,-0.70947,0.82862
314,0.49211,0.44508,-30.683,-18.117,2.9889,1.4659,1.4739,0.040396,0.84368,-0.2199
315,0.38669,0.3299,-19.367,-6.8012,2.7144,0.91959,2.0182,0.3072,-0.34268,-1
316,0.092528,0.008503,4.1403,16.706,-0.18883,1.2528,-0.18268,0.59924,-1,-1
317,0.72618,0.70082,-67.75,-55.184,1.6262,2.0947,1.2047,0.88479,-0.57673,-0.59001
318,0.64381,0.61083,-51.972,-39.406,1.1277,0.42644,1.0385,0.87654,0.055711,-0.90392
319,0.24648,0.1767,-7.0137,5.5524,1.9441,1.0141,1.5109,0.53963,-0.82556,0.40036
320,0.17905,0.10304,-1.872,10.694,2.7428,1.0893,1.0196,0.12962,-0.93152,1
321,0.53068,0.48723,-35.422,-22.856,1.4392,1.2788,2.8634,0.31067,-0.35704,-1
322,0.52606,0.48218,-34.835,-22.269,1.8212,2.158,3.9591,0.14509,-1,1
323,0.27409,0.20687,-9.2536,3.3125,1.7673,0.37611,0.016148,0.95147,0.35925,-0.60274
324,0.48652,0.43898,-30.027,-17.461,1.9257,1.211,2.6606,0.41421,-0.51657,-0.10693
325,0.38745,0.33074,-19.442,-6.8759,2.6166,1.2958,0.95301,0.40848,-0.014284,0.18177
326,0.36057,0.30137,-16.865,-4.299,-0.21677,0.75458,2.4178,0.07927,0.2836,-0.48406
327,0.28686,0.22083,-10.319,2.2475,1.2782,0.11508,-0.21528,0.99633,0.41064,-0.82871
328,0.2563,0.18744,-7.8015,4.7646,1.0251,-0.71794,0.68689,0.67237,1,-1
329,0.36314,0.30417,-17.107,-4.5406,0.99912,-2.042,1.4858,0.37352,1,0.27845
330,0.31256,0.24891,-12.521,0.045327,0.023388,-0.34298,1.5812,0.31924,0.45852,-1
331,0.39086,0.33446,-19.776,-7.2104,-0.090753,0.38023,1.7633,0.49121,-0.55981,-1
332,0.66563,0.63467,-55.764,-43.198,1.53,0.50752,2.0151,0.80316,0.40641,0.91932
333,0.46585,0.4164,-27.659,-15.093,1.7957,0.61042,1.136,0.61484,1,-1
334,0.43669,0.38453,-24.469,-11.903,2.1856,2.0342,1.7498,0.37748,-0.37925,-1
335,0.27902,0.21226,-9.6623,2.9038,0.69741,1.003,1.2219,0.88558,-1,1
336,0.20818,0.13486,-4.0392,8.5269,0.14019,0.15147,1.2582,0.62147,0.27337,-0.13981
337,0.32942,0.26733,-14.011,-1.4446,0.93352,1.547,2.2262,0.47551,-0.4555,1
338,0.40966,0.355,-21.658,-9.0916,0.78446,0.95921,3.1722,0.57401,-0.80366,-0.32895
339,0.48697,0.43947,-30.079,-17.513,2.8012,1.2339,2.0531,0.27332,-0.40194,-0.093272
340,0.43518,0.38289,-24.309,-11.743,-1.0457,-0.48728,-0.10942,0.96497,0.08091,-0.61472
341,0.58535,0.54696,-42.854,-30.288,1.1084,1.0741,2.7996,0.37449,0.29947,-1
342,0.21901,0.1467,-4.8658,7.7003,1.2406,-0.031604,0.28254,0.99691,0.26437,0.79005
343,0.39893,0.34328,-20.577,-8.011,2.8447,0.66079,0.94651,0.48866,0.78775,-1
344,0.68081,0.65126,-58.552,-45.986,1.2839,2.0443,3.8394,0.27112,-1,-1
345,0.086086,0.0014648,4.5648,17.131,0.66424,0.63389,-0.13424,0.035288,1,0.9031
346,0.29874,0.23381,-11.327,1.2395,1.6656,0.037292,0.73436,0.67825,0.54192,-1
347,0.6212,0.58613,-48.279,-35.713,2.9162,1.3346,2.6552,0.35987,-0.89075,1
348,0.70762,0.68055,-63.816,-51.25,1.9852,0.84947,3.1409,0.45936,-0.45919,1
349,0.23245,0.16138,-5.9075,6.6586,0.25776,2.5011,2.0253,0.37101,-0.99991,-0.99992
